anno,mese,giorni_lavorativi,dipendenti,tot_cum_giornate_lavorative,tot_giornate_assenza,tot_giornate_presenza,perc_assenza_totale,perc_assenza_ferie_permessi,perc_assenza_malattia,perc_assenza_congedo,perc_presenza
2012,Gennaio,21,9,189,31,158,16.40,12.70,0.53,3.17,83.60
2012,Febbraio,21,9,189,14,175,7.41,3.17,4.23,0.00,92.59
2012,Marzo,22,9,198,12,186,6.06,5.05,1.01,0.00,93.94
2012,Aprile,20,9,180,25,146,14.62,8.77,0.00,5.85,85.38
2012,Maggio,22,9,198,20,178,10.10,5.56,2.02,2.53,89.90
2012,Giugno,21,9,189,25,164,13.23,4.76,8.47,0.00,86.77
2012,Luglio,22,9,198,45,153,22.73,14.14,1.52,7.07,77.27
2012,Agosto,21,9,189,130,59,68.78,49.21,0.00,19.58,31.22
2012,Settembre,20,9,180,40,140,22.22,5.56,0.56,16.11,77.78
2012,Ottobre,23,9,207,80,127,38.65,5.31,0.97,32.37,61.35
2012,Novembre,21,9,189,69,120,36.51,1.59,0.53,34.39,63.49
2012,Dicembre,19,9,171,84,87,49.12,18.13,0.00,30.99,50.88
2013,Gennaio,22,9,198,78,120,39.39,6.06,1.52,31.82,60.61
2013,Febbraio,20,9,180,58,122,32.22,7.22,1.11,23.89,67.78
2013,Marzo,21,9,189,46,143,24.34,0.53,1.59,22.22,75.66
2013,Aprile,21,9,189,47,133,26.11,3.33,0.56,22.22,73.89
2013,Maggio,22,9,198,44,154,22.22,4.04,0.00,18.18,77.78
2013,Giugno,20,9,180,40,140,22.22,9.44,0.00,12.78,77.78
2013,Luglio,23,9,207,20,187,9.66,7.25,0.48,1.93,90.34
2013,Agosto,20,9,180,136,44,75.56,73.33,0.00,2.22,24.44
2013,Settembre,21,9,189,30,159,15.87,13.23,1.06,1.59,84.13
2013,Ottobre,23,9,207,58,149,28.02,3.86,12.56,11.59,71.98
2013,Novembre,20,9,180,31,149,17.22,3.33,1.67,12.22,82.78
2013,Dicembre,20,9,180,41,139,22.78,22.78,0.00,0.00,77.22
2014,Gennaio,21,9,189,17,151,10.12,8.33,1.19,0.60,89.88
2014,Febbraio,20,9,180,35,125,21.88,7.50,1.88,12.50,78.13
2014,Marzo,21,9,189,27,141,16.07,1.79,1.79,12.50,83.93
2014,Aprile,21,9,189,27,133,16.88,4.38,0.00,12.50,83.13
2014,Maggio,21,9,189,31,137,18.45,5.95,0.00,12.50,81.55
2014,Giugno,20,9,180,31,129,19.38,5.63,1.25,12.50,80.63
2014,Luglio,23,9,207,47,137,25.54,13.04,0.00,12.50,74.46
2014,Agosto,20,9,180,110,50,68.75,68.75,0.00,0.00,31.25
2014,Settembre,22,9,198,34,142,19.32,11.36,1.70,6.25,80.68
2014,Ottobre,23,9,207,32,152,17.39,3.80,1.09,12.50,82.61
2014,Novembre,20,9,180,23,137,14.38,6.88,0.00,7.50,85.63
2014,Dicembre,20,9,180,36,124,22.50,21.25,0.00,1.25,77.50
2015,Gennaio,20,9,180,34,126,21.25,13.13,7.50,0.63,78.75
2015,Febbraio,20,9,180,25,135,15.63,8.13,7.50,0.00,84.38
2015,Marzo,22,9,198,2,174,1.14,1.14,0.00,0.00,98.86
2015,Aprile,22,9,198,19,149,11.31,8.93,2.38,0.00,88.69
2015,Maggio,20,9,180,9,151,5.63,4.38,1.25,0.00,94.38
2015,Giugno,21,9,189,14,154,8.33,7.14,1.19,0.00,91.67
2015,Luglio,23,9,207,27,157,14.67,11.96,2.17,0.54,85.33
2015,Agosto,21,9,189,149,40,78.84,78.31,0.00,0.53,21.16
2015,Settembre,22,9,198,21,177,10.61,9.60,0.51,0.51,89.39
2015,Ottobre,22,9,198,14,184,7.07,5.05,2.02,0.00,92.93
2015,Novembre,21,9,189,14,175,7.41,5.29,2.12,0.00,92.59
2015,Dicembre,21,9,189,64,125,33.86,28.57,5.29,0.00,66.14
2016,Gennaio,19,9,171,22,149,12.87,11.44,0.00,1.17,87.13
2016,Febbraio,21,9,189,10,179,5.29,4.14,0.44,0.53,94.71
2016,Marzo,23,9,207,26,172,13.13,10.77,0.00,2.44,86.87
2016,Aprile,20,9,180,15,165,8.33,6.67,1.11,0.56,91.67
2016,Maggio,22,9,198,19,179,9.60,9.39,0.00,0.00,90.40
2016,Giugno,21,9,189,20,169,10.58,9.35,0.00,1.06,89.42
2016,Luglio,21,9,189,36,153,19.05,17.10,0.53,1.59,80.95
2016,Agosto,22,9,198,129,70,65.15,63.38,1.52,0.00,35.35
2016,Settembre,22,9,198,18,180,9.09,4.46,3.54,1.01,90.91
2016,Ottobre,21,9,189,17,172,8.99,5.73,1.06,2.35,91.01
2016,Novembre,21,9,189,17,172,8.99,5.26,0.00,3.48,91.01
2016,Dicembre,20,9,180,51,129,28.33,26.09,0.00,2.20,71.67
